date	source_type	path	bytes	notes
	checkpoint_ledger	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw/workspace/memory/checkpoints/CATCHUP_NOW_MASTER.md	8616	jan-token-in-content-match
	checkpoint_ledger	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw/workspace/memory/checkpoints/OPERATOR_BRIEFING_6W.md	4738	jan-token-in-content-match
	checkpoint_ledger	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw_workspace/memory/checkpoints/CATCHUP_NOW_MASTER.md	8616	jan-token-in-content-match
	checkpoint_ledger	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw_workspace/memory/checkpoints/OPERATOR_BRIEFING_6W.md	4738	jan-token-in-content-match
	checkpoint_ledger	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v5/RAW/Users_tydroelite_.openclaw/workspace/memory/checkpoints/CATCHUP_NOW_MASTER.md	8616	jan-token-in-content-match
	checkpoint_ledger	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v5/RAW/Users_tydroelite_.openclaw/workspace/memory/checkpoints/OPERATOR_BRIEFING_6W.md	4738	jan-token-in-content-match
	checkpoint_ledger	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v5/RAW/Users_tydroelite_.openclaw_workspace/memory/checkpoints/CATCHUP_NOW_MASTER.md	8616	jan-token-in-content-match
	checkpoint_ledger	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v5/RAW/Users_tydroelite_.openclaw_workspace/memory/checkpoints/OPERATOR_BRIEFING_6W.md	4738	jan-token-in-content-match
	obsidian_daily_or_index	/Users/tydroelite/Documents/Obsidian Vault/Memory/Daily/INDEX.md	1944	jan-token-in-content-match
	obsidian_daily_or_index	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_Documents_Obsidian_Vault_Memory/Daily/INDEX.md	1944	jan-token-in-content-match
	obsidian_daily_or_index	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v5/RAW/Users_tydroelite_Documents_Obsidian Vault_Memory/Daily/INDEX.md	1944	jan-token-in-content-match
	other	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v3/manifests/file-inventory.tsv	6084068	jan-token-in-content-match
	other	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw/cron/runs/6d3e1470-9587-47db-ac60-da67df37546b.jsonl	2210	jan-token-in-content-match
	other	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw/workspace/MEMORY.md	11942	jan-token-in-content-match
	other	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw/workspace/memory/2026-03-05.md	15265	jan-token-in-content-match
	other	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw/workspace/memory/2026-03-06.md	3251	jan-token-in-content-match
	other	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw/workspace/memory/index/2026-03-06-night-obsidian-refresh/continuity-delta.md	2294	jan-token-in-content-match
	other	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw/workspace/memory/index/2026-03-06-night-obsidian-refresh/high-signal-new.tsv	2171	jan-token-in-content-match
	other	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw/workspace/memory/index/2026-03-06-night-obsidian-refresh/inventory-current.tsv	26251	jan-token-in-content-match
	other	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw_workspace/MEMORY.md	11942	jan-token-in-content-match
	other	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw_workspace/memory/2026-03-05.md	15265	jan-token-in-content-match
	other	/Volumes/Expansion/OpenClaw/centralized-checkpoints/EXHAUSTIVE_CONSOLIDATION_2026-03-06_v4/RAW/Users_tydroelite_.openclaw_workspace/memory/2026-03-06.md	3597	jan-token-in-content-match
